id;origem;destino;valor;timestamp
ID00000;ORIG018;DEST666;160.24;2020-04-13
ID00001;ORIG010;DEST205;36.14;2023-03-26
ID00002;ORIG001;DEST555;100.63;2022-02-26
ID00003;ORIG015;DEST230;832.28;2023-09-14
ID00004;ORIG015;DEST936;739.52;2022-08-17
ID00005;ORIG015;DEST735;641.15;2021-07-06
ID00006;ORIG097;DEST018;597.55;2021-08-12
ID00007;ORIG043;DEST221;60.75;2022-08-14
ID00000;ORIG072;DEST321;852.94;2022-04-28
ID00007;ORIG023;DEST390;515.67;2020-09-24
ID00010;ORIG008;DEST216;754.54;2024-12-18
ID00000;ORIG054;DEST384;208.55;2021-03-08
ID00012;ORIG005;DEST088;47.50;2023-01-27
ID00013;ORIG024;DEST240;31.38;2022-10-11
ID00014;ORIG005;DEST086;730.75;2022-07-04
ID00015;ORIG006;DEST431;293.56;2023-04-04
ID00016;ORIG001;DEST985;81.61;2020-06-21
ID00017;ORIG008;DEST082;566.22;2023-01-05
ID00018;ORIG001;DEST619;661.24;2023-01-22
ID00019;ORIG014;DEST564;260.40;2022-05-14
ID00020;ORIG014;DEST866;436.30;2022-03-05
ID00021;ORIG007;DEST743;530.38;2024-06-10
ID00022;ORIG016;DEST292;392.76;2024-01-15
ID00023;ORIG053;DEST117;714.22;2022-04-22
ID00024;ORIG005;DEST744;16.68;2024-07-07
ID00025;ORIG015;DEST805;556.10;2022-05-28
ID00026;ORIG007;DEST775;861.92;2022-02-01
ID00027;ORIG012;DEST089;949.71;2024-02-05
ID00028;ORIG016;DEST399;797.02;2020-07-08
ID00029;ORIG007;DEST245;374.83;2024-03-22
ID00030;ORIG001;DEST148;450.16;2022-12-28
ID00031;ORIG006;DEST782;509.11;2021-11-23
ID00032;ORIG044;DEST006;968.03;2020-08-11
ID00033;ORIG097;DEST849;52.67;2022-03-10
ID00013;ORIG014;DEST821;475.30;2022-07-15
ID00035;ORIG015;DEST502;624.48;2020-05-16
ID00036;ORIG014;DEST695;643.38;2022-01-19
ID00037;ORIG031;DEST493;869.12;2021-12-08
ID00038;ORIG015;DEST300;788.64;2023-06-24
ID00039;ORIG012;DEST999;462.90;2021-02-17
ID00040;ORIG011;DEST834;19.18;2021-11-11
ID00041;ORIG032;DEST721;771.35;2020-02-15
ID00042;ORIG012;DEST230;884.55;2021-01-12
ID00043;ORIG017;DEST770;770.28;2021-02-20
ID00042;ORIG001;DEST063;285.33;2023-10-25
ID00045;ORIG005;DEST786;791.65;2023-02-22
ID00046;ORIG096;DEST487;545.02;2020-09-03
ID00047;ORIG002;DEST683;741.10;2022-03-02
ID00048;ORIG003;DEST006;209.97;2024-02-22
ID00049;ORIG001;DEST153;227.91;2022-04-06
ID00050;ORIG008;DEST343;781.94;2023-12-27
ID00051;ORIG001;DEST163;461.43;2021-05-01
ID00052;ORIG003;DEST403;80.37;2021-12-12
ID00053;ORIG012;DEST334;466.54;2022-12-23
ID00054;ORIG005;DEST099;404.64;2024-06-12
ID00055;ORIG015;DEST836;252.12;2021-03-06
ID00056;ORIG001;DEST254;142.37;2024-06-07
ID00057;ORIG000;DEST995;517.42;2022-12-19
ID00058;ORIG018;DEST827;766.41;2021-04-08
ID00059;ORIG006;DEST377;722.16;2022-05-15
ID00060;ORIG006;DEST359;18.45;2024-12-11
ID00061;ORIG000;DEST245;629.38;2020-08-10
ID00062;ORIG002;DEST180;51.38;2020-01-05
ID00063;ORIG006;DEST000;293.69;2024-05-20
ID00064;ORIG016;DEST210;886.86;2021-04-28
ID00065;ORIG009;DEST270;855.42;2023-01-06
ID00066;ORIG000;DEST414;971.63;2023-08-27
ID00067;ORIG011;DEST338;216.22;2023-10-05
ID00068;ORIG070;DEST813;169.15;2022-05-07
ID00069;ORIG034;DEST747;712.75;2023-05-20
ID00070;ORIG019;DEST178;821.87;2022-08-07
ID00071;ORIG066;DEST863;616.47;2020-05-20
ID00072;ORIG012;DEST341;426.50;2024-10-15
ID00073;ORIG006;DEST984;293.19;2024-11-27
ID00074;ORIG010;DEST183;457.23;2022-08-09
ID00075;ORIG015;DEST462;696.39;2023-10-14
ID00076;ORIG003;DEST094;587.34;2024-09-08
ID00077;ORIG008;DEST413;596.10;2023-09-20
ID00060;ORIG001;DEST039;338.84;2024-11-23
ID00079;ORIG036;DEST083;668.12;2024-10-03
ID00080;ORIG002;DEST021;973.00;2020-02-12
ID00081;ORIG011;DEST268;624.12;2020-06-08
ID00082;ORIG010;DEST539;965.12;2021-10-01
ID00083;ORIG017;DEST283;280.78;2020-10-09
ID00084;ORIG001;DEST035;652.91;2022-05-27
ID00085;ORIG000;DEST796;172.88;2020-08-05
ID00056;ORIG008;DEST391;889.64;2023-06-08
ID00087;ORIG016;DEST969;824.47;2024-02-03
ID00088;ORIG003;DEST836;656.32;2022-12-06
ID00089;ORIG018;DEST567;526.65;2021-06-20
ID00039;ORIG002;DEST685;437.77;2023-04-24
ID00091;ORIG012;DEST054;33.70;2021-04-08
ID00092;ORIG072;DEST181;756.82;2024-06-07
ID00022;ORIG001;DEST439;960.74;2023-01-12
ID00094;ORIG001;DEST303;960.66;2024-12-28
ID00095;ORIG013;DEST906;738.45;2023-08-26
ID00096;ORIG000;DEST598;869.21;2024-03-12
ID00097;ORIG011;DEST882;814.95;2022-04-09
ID00098;ORIG002;DEST894;826.99;2021-01-28
ID00099;ORIG006;DEST491;922.11;2023-09-17
ID00100;ORIG003;DEST546;643.64;2024-07-19
ID00101;ORIG089;DEST271;567.67;2022-02-15
ID00102;ORIG019;DEST887;662.70;2022-04-10
ID00103;ORIG006;DEST255;438.68;2023-12-06
ID00104;ORIG061;DEST137;736.03;2020-10-28
ID00105;ORIG008;DEST142;34.62;2023-07-24
ID00106;ORIG002;DEST264;991.96;2022-03-05
ID00107;ORIG013;DEST450;529.72;2021-12-02
ID00108;ORIG004;DEST082;490.14;2024-10-19
ID00109;ORIG012;DEST712;453.30;2020-11-04
ID00110;ORIG016;DEST656;943.37;2024-07-08
ID00111;ORIG000;DEST244;613.91;2021-06-27
ID00112;ORIG028;DEST961;507.56;2020-03-05
ID00113;ORIG011;DEST606;127.13;2020-11-26
ID00114;ORIG009;DEST168;846.04;2023-12-01
ID00115;ORIG010;DEST380;732.23;2022-11-06
ID00116;ORIG014;DEST026;585.31;2024-02-07
ID00117;ORIG018;DEST120;396.62;2024-10-01
ID00118;ORIG083;DEST031;247.60;2022-06-20
ID00119;ORIG003;DEST184;839.71;2022-11-02
ID00120;ORIG000;DEST840;914.63;2022-09-23
ID00121;ORIG027;DEST091;210.88;2022-06-20
ID00122;ORIG011;DEST525;412.44;2020-05-28
ID00123;ORIG000;DEST077;240.17;2021-06-11
ID00124;ORIG006;DEST934;186.35;2023-01-10
ID00125;ORIG004;DEST742;829.71;2022-03-14
ID00126;ORIG057;DEST270;675.92;2021-10-05
ID00127;ORIG002;DEST057;663.43;2020-05-02
ID00128;ORIG031;DEST238;957.41;2022-03-04
ID00129;ORIG001;DEST977;252.16;2022-11-04
ID00039;ORIG011;DEST523;493.34;2020-09-02
ID00131;ORIG015;DEST180;202.19;2021-08-16
ID00132;ORIG052;DEST206;19.07;2024-12-17
ID00133;ORIG003;DEST798;121.89;2023-05-13
ID00134;ORIG098;DEST744;395.65;2022-07-26
ID00135;ORIG031;DEST063;257.60;2023-04-22
ID00000;ORIG096;DEST167;567.97;2021-02-17
ID00137;ORIG013;DEST457;971.50;2024-09-27
ID00138;ORIG003;DEST163;587.73;2021-04-20
ID00139;ORIG017;DEST657;931.89;2021-05-21
ID00140;ORIG003;DEST277;353.88;2023-05-05
ID00141;ORIG016;DEST180;680.90;2022-05-06
ID00142;ORIG007;DEST423;833.26;2020-12-19
ID00143;ORIG076;DEST781;241.43;2024-10-25
ID00144;ORIG016;DEST189;873.18;2022-02-13
ID00145;ORIG015;DEST768;436.44;2021-02-22
ID00146;ORIG007;DEST718;695.20;2024-05-16
ID00147;ORIG031;DEST431;585.10;2020-11-22
ID00148;ORIG083;DEST442;161.75;2021-01-01
ID00149;ORIG002;DEST737;475.63;2021-02-10
ID00150;ORIG008;DEST799;280.59;2023-09-21
ID00151;ORIG016;DEST047;383.38;2020-11-04
ID00152;ORIG016;DEST955;481.49;2022-02-26
ID00153;ORIG013;DEST658;701.15;2021-10-16
ID00154;ORIG013;DEST456;504.70;2024-04-26
ID00155;ORIG007;DEST931;558.25;2020-07-11
ID00156;ORIG014;DEST137;428.38;2022-06-02
ID00157;ORIG019;DEST410;261.15;2020-11-08
ID00134;ORIG009;DEST019;275.11;2020-07-25
ID00159;ORIG004;DEST911;923.29;2021-08-12
ID00160;ORIG003;DEST770;608.23;2022-04-11
ID00161;ORIG046;DEST603;782.77;2021-02-22
ID00162;ORIG005;DEST491;979.56;2020-11-24
ID00163;ORIG002;DEST632;336.68;2021-01-24
ID00164;ORIG057;DEST928;949.75;2020-12-08
ID00165;ORIG012;DEST822;175.73;2024-09-10
ID00166;ORIG016;DEST064;494.17;2024-01-19
ID00167;ORIG016;DEST002;259.86;2022-03-24
ID00168;ORIG060;DEST246;677.24;2022-03-20
ID00169;ORIG015;DEST574;840.52;2024-09-17
ID00010;ORIG004;DEST434;837.58;2022-04-14
ID00171;ORIG006;DEST573;584.14;2024-05-07
ID00172;ORIG018;DEST835;258.31;2020-03-10
ID00173;ORIG010;DEST660;341.34;2021-07-07
ID00174;ORIG014;DEST271;28.14;2021-06-04
ID00018;ORIG005;DEST944;135.25;2020-10-10
ID00176;ORIG013;DEST905;854.16;2020-11-19
ID00177;ORIG004;DEST619;273.56;2020-07-07
ID00178;ORIG006;DEST070;189.21;2020-01-04
ID00179;ORIG008;DEST390;425.78;2024-04-26
ID00180;ORIG006;DEST617;56.45;2021-07-23
ID00181;ORIG072;DEST980;215.25;2022-12-17
ID00182;ORIG041;DEST748;569.28;2022-05-11
ID00183;ORIG015;DEST262;337.10;2020-09-02
ID00184;ORIG004;DEST583;800.15;2023-12-28
ID00185;ORIG008;DEST184;103.10;2022-07-21
ID00186;ORIG008;DEST503;567.72;2021-01-07
ID00187;ORIG009;DEST353;568.67;2024-03-22
ID00188;ORIG016;DEST778;992.80;2021-04-19
ID00189;ORIG002;DEST061;511.58;2020-04-14
ID00190;ORIG009;DEST159;997.09;2023-09-11
ID00191;ORIG005;DEST507;486.94;2024-07-08
ID00192;ORIG012;DEST736;904.69;2021-02-07
ID00193;ORIG017;DEST858;25.97;2022-08-12
ID00194;ORIG024;DEST335;613.72;2024-01-12
ID00195;ORIG016;DEST657;653.37;2023-10-16
ID00196;ORIG014;DEST058;803.30;2023-10-13
ID00101;ORIG010;DEST629;541.13;2023-09-20
ID00198;ORIG063;DEST497;501.86;2020-08-04
ID00199;ORIG010;DEST702;371.31;2024-03-13
ID00200;ORIG018;DEST375;538.18;2021-03-06
ID00201;ORIG009;DEST595;622.85;2020-07-04
ID00202;ORIG074;DEST098;936.99;2022-12-28
ID00203;ORIG017;DEST562;763.42;2024-04-08
ID00204;ORIG015;DEST726;369.00;2021-08-18
ID00205;ORIG014;DEST798;761.60;2021-06-24
ID00206;ORIG013;DEST138;443.82;2021-11-27
ID00207;ORIG012;DEST577;146.67;2024-09-21
ID00208;ORIG017;DEST336;332.86;2023-09-14
ID00059;ORIG047;DEST167;940.08;2021-11-22
ID00210;ORIG002;DEST479;34.80;2024-12-05
ID00211;ORIG015;DEST238;890.36;2024-07-28
ID00212;ORIG013;DEST875;225.95;2024-12-04
ID00213;ORIG000;DEST149;664.98;2021-09-27
ID00214;ORIG071;DEST396;907.66;2020-04-17
ID00215;ORIG001;DEST803;743.20;2020-06-13
ID00188;ORIG012;DEST891;572.61;2024-03-25
ID00217;ORIG007;DEST787;969.44;2020-10-18
ID00218;ORIG010;DEST537;915.08;2020-08-22
ID00219;ORIG002;DEST026;347.09;2024-01-14
ID00220;ORIG073;DEST305;139.94;2024-02-13
ID00221;ORIG017;DEST866;969.55;2021-07-26
ID00222;ORIG010;DEST445;588.60;2021-12-12
ID00223;ORIG019;DEST907;701.20;2023-10-06
ID00224;ORIG002;DEST902;438.85;2021-07-21
ID00225;ORIG005;DEST361;388.84;2024-09-03
ID00226;ORIG000;DEST032;939.21;2021-09-07
ID00227;ORIG005;DEST667;229.86;2023-03-04
ID00228;ORIG006;DEST274;452.06;2022-08-21
ID00229;ORIG033;DEST363;379.55;2022-04-11
ID00230;ORIG015;DEST379;781.70;2022-01-26
ID00231;ORIG012;DEST106;600.14;2023-01-03
ID00227;ORIG003;DEST708;980.63;2023-06-22
ID00233;ORIG009;DEST265;971.17;2020-12-08
ID00234;ORIG002;DEST721;662.22;2024-12-10
ID00235;ORIG004;DEST928;160.05;2023-10-12
ID00236;ORIG003;DEST223;726.84;2022-02-20
ID00237;ORIG061;DEST203;698.70;2022-03-05
ID00238;ORIG015;DEST170;294.82;2022-11-04
ID00239;ORIG006;DEST867;756.94;2021-06-09
ID00240;ORIG006;DEST438;126.26;2023-09-23
ID00241;ORIG083;DEST487;107.25;2021-05-01
ID00242;ORIG002;DEST479;650.40;2021-11-13
ID00243;ORIG001;DEST070;344.55;2023-07-20
ID00244;ORIG008;DEST516;420.90;2022-01-06
ID00245;ORIG060;DEST797;152.35;2022-12-27
ID00204;ORIG009;DEST920;970.54;2022-04-27
ID00247;ORIG034;DEST563;682.74;2022-02-08
ID00248;ORIG036;DEST653;591.71;2021-07-02
ID00249;ORIG000;DEST994;515.26;2020-10-27
ID00250;ORIG005;DEST261;641.10;2021-01-22
ID00251;ORIG018;DEST184;935.06;2020-03-13
ID00252;ORIG000;DEST604;889.96;2021-07-10
ID00253;ORIG012;DEST491;582.21;2024-07-13
ID00254;ORIG066;DEST530;81.86;2024-08-18
ID00255;ORIG009;DEST893;176.75;2022-02-23
ID00256;ORIG016;DEST821;861.01;2023-08-28
ID00257;ORIG085;DEST446;290.95;2024-04-14
ID00258;ORIG019;DEST024;889.68;2021-04-08
ID00259;ORIG005;DEST541;341.15;2021-09-19
ID00260;ORIG036;DEST594;571.25;2021-09-08
ID00261;ORIG007;DEST653;840.06;2022-11-17
ID00262;ORIG015;DEST598;185.43;2022-10-06
ID00263;ORIG001;DEST523;132.70;2023-07-03
ID00264;ORIG000;DEST169;421.19;2020-07-20
ID00265;ORIG011;DEST077;791.43;2024-02-22
ID00266;ORIG018;DEST993;972.85;2020-04-17
ID00267;ORIG021;DEST971;669.87;2021-10-10
ID00268;ORIG014;DEST111;550.21;2024-10-06
ID00269;ORIG019;DEST048;362.03;2024-11-04
ID00062;ORIG085;DEST864;814.72;2024-03-06
ID00271;ORIG012;DEST254;579.94;2022-12-18
ID00272;ORIG015;DEST810;231.20;2021-10-12
ID00273;ORIG018;DEST175;66.57;2021-04-20
ID00274;ORIG004;DEST106;647.04;2023-06-20
ID00275;ORIG002;DEST562;20.23;2024-11-15
ID00080;ORIG001;DEST713;669.36;2023-10-16
ID00277;ORIG002;DEST352;128.05;2022-04-28
ID00278;ORIG010;DEST368;932.91;2023-05-04
ID00279;ORIG008;DEST274;313.15;2021-07-08
ID00280;ORIG004;DEST101;617.96;2023-04-22
ID00281;ORIG000;DEST539;943.64;2022-08-28
ID00282;ORIG014;DEST601;323.49;2020-01-04
ID00283;ORIG017;DEST528;62.45;2022-02-19
ID00132;ORIG011;DEST185;985.06;2022-04-16
ID00285;ORIG013;DEST401;285.65;2020-08-01
ID00083;ORIG015;DEST820;647.78;2020-04-04
ID00287;ORIG004;DEST048;174.71;2020-11-12
ID00288;ORIG019;DEST066;954.09;2020-09-01
ID00289;ORIG081;DEST378;894.18;2021-12-06
ID00290;ORIG006;DEST145;691.71;2024-05-13
ID00291;ORIG004;DEST851;468.27;2022-10-17
ID00292;ORIG003;DEST362;140.06;2022-11-12
ID00154;ORIG015;DEST552;602.35;2021-03-19
ID00294;ORIG005;DEST185;630.53;2022-06-24
ID00295;ORIG004;DEST712;939.76;2021-05-06
